2026-07-24 16:14:44,944 | INFO | Thread-1 (start_ipc_server) | IPC server started
2026-07-24 16:14:44,945 | INFO | Pipe-Accept | Waiting for client...
2026-07-24 16:14:44,945 | INFO | Thread-1 (start_ipc_server) | IPC threads started
2026-07-24 16:14:44,957 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:44,973 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:44,977 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:44,982 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:44,993 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:44,997 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,000 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,004 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,008 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,012 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,015 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,018 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,023 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,027 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,030 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,033 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,036 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,041 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:45,044 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:46,359 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:46,376 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:49,051 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:52,222 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:14:52,238 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:00,351 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:00,371 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:05,079 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:08,334 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:08,352 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:10,604 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:16,338 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:16,353 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:24,353 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:24,366 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:31,119 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:32,396 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:32,412 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:33,125 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:40,381 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:40,396 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
2026-07-24 16:15:40,412 | INFO | Pipe-Broadcast | Broadcasting event to 0 clients
